,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,adjusted_close,10%DDret
2023-09-30,1.3837413884937677,0.8911874107361437,,0.397088746542398,1.153611087383877,1.5386080705868754,,1.1296503212252276,0.0165380464614496,0.4667651403249631,2.165789440862093,,0.7574014750356844,,1.5104949603910955,,1.2363047119614938,1.1610287040347649,-1.4869070067467116,-0.2191822697914148,-0.0521663512626863,-0.1181626956238966,-0.0347589520227314,,1.4502558003799624,0.5796822845392474,,-0.2512137683778346,0.6906115498332287,0.7227014313243086,2.5175737022461973,1.0698747579253765,,,,0.769078403529173,,,,,,,2.939959267234557,,1.3597827367060336,,,-0.0001375515818431,0.9145380048110467,,,,,1.3968223547766212,1.6458962685774512,,1.5166559066397738,,-0.0378888507807104,1.077354001489478,0.0445066858438605,-1.1379196521198591,,,,-0.0528084840078403,,2.6816544522007497,0.8053184076491753,1.6412307890137616,1.9443932330907128,0.0,1.4248261712071126,,-0.2511302234917895,3.681537368348186,,-0.6852380358466065,-1.1178583541953624,,0.5911825384071978,,,,,0.6744553717923136,1.0396021091208256,1.8805436275642988,1.8992467452020143,,,0.2226634276107596,-2.498974183621132,2.193644472576315,1.3409965464528448,1.0453750035035554,1.539092034972836,0.5112863290515001,0.7511263491093427,1.502433187210275,,0.5075453682135925,2.1708470862089047,1.6118997691487271,-0.7114834966610465,0.3032954110859627,-0.2799030666479115,,,,-1.3829177631410277,1.6021816763935075,1.513553816304527,2.630273971670276,-1.968441389189707,,2.590059970159931,2.958731058325127,,2.53,0.1596459596787412
2023-06-30,1.3172615527357094,0.8318608551957836,,0.6924973568914401,1.177185130198849,1.4182745190138366,,1.394006166134805,0.0165380464614496,0.4667651403249631,1.2416759537171067,,0.7308702944220464,,0.8917254441763415,,1.2507719106551036,0.985805744864214,-0.923375773182988,-0.074016288323655,0.0475349285630873,-0.0182209221092881,,,1.2729497230053008,0.7462150009774746,,-0.1558343217829946,0.7972592167374952,0.8286252590399559,2.8679481009746746,1.1019941517072958,,,,0.7621884383501064,,,,,,,2.9881703456447086,,1.3328509434672378,1.7023486956841165,,0.9999312242090784,0.980936908586425,,,,,1.3297541037424374,0.9716316059375314,,1.5415042787086282,,-0.6784352398114769,0.4442335448919469,-0.0050055419635532,-1.146242308106961,,,,-0.1769980266683473,,-0.0508284763695671,0.8103502011864337,0.9335602382729228,0.4444478092337509,0.0,1.4709905391542233,,-0.252779974911348,1.3401422230045823,,-0.1882717181573406,-1.608971168919518,,0.6045387415702895,,,,,-1.0224922877770233,1.4609276641362203,0.8985372421622013,0.2304223910710602,,,0.0611702237848297,-2.2489314412720125,2.197239885625825,1.2561797408904405,0.925308788009217,1.5826642032611151,0.3945428522141603,0.6582836740453866,1.5439341949344494,,0.3184510181868896,1.9659523390837603,1.4996316729349688,-0.4386243658933449,0.4135371398940318,-0.0439796803193601,,,,-1.006251184407272,1.4150136405398894,1.4441612186293995,2.319349278001585,-2.1569429519407364,,2.092752343541043,1.6280463124983766,,3.18,-0.1006093522320836
2023-03-31,1.3485213793986015,0.8518565093513162,,0.7268390458762635,1.2632791405766428,1.4165323387601876,,1.091939235608566,,0.4667651403249631,0.5514934237411492,,0.7818908877462266,,0.9030684032702364,,1.3299536148093314,,,,-0.0212759974705128,,,,1.3308655345642793,0.8374459673740687,,-0.0985845496669725,0.2306210115761279,0.817134838550528,3.144568419491882,1.3755528620844533,,,,,,,,,,,-0.1894212379037972,,1.3544881381933749,1.30373338884234,,1.155445667125172,1.1119605303315605,,,,,,,,,,-0.761779745146759,0.4146021577660465,0.0419760871453206,-1.0081664370920314,,,,0.1044466263144102,,-1.4319037492890565,1.1307230056509234,0.939313977054551,-0.884015379823333,4.913588614029143,1.2186538242334437,,-0.2061744973088185,-1.5930496430950998,,0.0366829783643793,-0.8797309899517483,,0.4579287268492752,,,,,-3.5462277799220114,0.7753387432531818,-2.2263810855605097,-1.1906792142109526,,,0.6240787106391935,-2.781073687809882,2.169582862168057,1.1785727038842628,1.127044859094608,1.3444965796853667,0.7065869807966005,0.9377945614325572,1.5923520372793196,,0.765793336978527,2.017852800991249,1.3494730942490667,-0.0201323801179493,-0.0682600452671592,-0.0295571940607845,,,,-0.4285466961388783,1.5959889014871935,1.3671504347476175,2.4716947007463133,-2.8211723510650124,,3.07689457046091,2.7583253634841585,,2.82,0.0141907536037046
2022-12-31,1.384373118176823,0.8466833217624536,,0.3973223634742676,1.492730699118964,1.345823049532087,,5.06359361065442,0.015147555113584,0.0,0.5514934237411492,,0.8060616430383666,,1.2199119454985734,,1.5872233898387005,,-1.2273489302935154,-0.3589200361401879,-0.1481394849411286,-0.084795765670332,,,1.4647539743336606,0.5637530681842865,,0.0,0.7851010313177667,0.8934401551987668,3.113984002678677,1.6187541157581289,,,,1.0370490083688535,,,,,,,3.196619354824976,,1.355521891614128,1.2255286620638506,,0.0,1.2655163118080863,,,,,1.3974596759204805,1.3534207397518367,,1.5947734945814864,,-1.213247426350005,0.0,0.043395114452913,-1.0232073816470346,,,,-4.651124042077425,,-1.244510830060776,1.408308372132302,1.3056528214401713,3.23818060443744,0.7793968146391054,1.368972985295794,,-6.352323410874265,-2.8473053796229086,,,-0.5212796594858734,,1.3646094415745385,,,,,2.640456420463356,1.241539209453648,3.6000664844205126,3.0566399160536264,,,0.7922260325857288,-2.71268592921867,2.580566230750488,1.614559651482509,1.3589659669261387,1.4863750906240538,0.8635556925422153,1.1287974480530034,1.872868108007536,,0.9329843873959024,2.290442303414997,1.5683958818658958,-1.219210578629225,0.4442959432404808,0.0,,,,-2.0838062485560247,1.835424400682473,1.654233690089597,2.733823410391345,-3.086923763107998,,4.09527553726625,3.955381124091142,,2.75,-0.0992721077899954
2022-09-30,1.4434571693406324,0.8382446053697137,,0.6923700356635711,1.32402441781514,1.5368224984303755,,4.046550595782188,0.0151480538130125,0.0,1.897418138838408,8.304399186289668,0.8673145030993417,0.7312142824096186,1.5453945937704725,,1.2957426736203237,,-1.546357168251871,-0.2477183966719282,-0.0717657481515136,-0.1976255490079102,-0.9805412361781022,7.261556593699511,1.670159325102334,0.5659252340508721,1.0404147989740296,0.9866368255661552,0.7661140569860643,0.5760033444932647,2.9926928383625984,1.3476925017159116,,,,4.077034977609697,,,,,,,2.740046175130632,,1.3625992114519505,0.4090442363634137,,1.9603033012379645,1.5855233225160714,,,,,1.457066682020681,1.829488652451408,,1.5858743085591516,,0.4867428775403282,1.0277003380983452,0.0442209628034403,0.2431398769205384,0.972891785836038,-0.0946610534686447,-0.0049948463537033,0.1410617480089916,,1.810091139447339,0.9884320223976906,1.6230603770896483,1.340858961935137,0.0,1.2138265131653938,,-0.1258671759413004,-0.0534454268350878,-2.0203022783085847,0.0993375054107393,-0.6153565510476332,0.5711931025738557,1.180136645686646,,,,,0.3182911696983592,0.5199257070914824,2.1144496574443385,1.018057793997331,,,0.2226645490913417,-2.498974183621132,2.193744037860763,1.3409815827822564,1.0453872406806146,1.3399241916551152,0.4641348388145945,0.8524055100322592,2.2245443171344097,,0.5075518833593687,2.1906761663396725,2.3117018966291503,-0.7114834966610465,0.3032954110859627,0.8338333722087593,,,,-1.3829238613587085,1.602186329283419,1.558957811371517,2.630265680345111,-3.541230425055962,,2.590059970159931,2.20010532008095,,2.6853,-0.0141110065851364
2022-06-30,1.3653105382837512,0.7238934950743274,,0.6140067401219097,1.2639585023735804,1.4458828727224824,,3.606576078559222,0.0151480538130125,0.0,1.1293170111129127,7.981364431289336,0.8493871908038302,0.672614008522312,1.126792092202316,,1.2390227107073626,,-1.161127256714973,-0.0828239550838623,0.0415166354966811,-0.1193494876201798,0.2490385218568526,7.105798464441176,1.4879215071384149,0.4754183229431399,0.8802466390243734,1.1949663148388567,0.7505116965839232,0.6221323626716957,3.0189481004215115,1.3358690049721087,,,,0.8519422036334999,,,,,,,2.891719951756286,,1.3217109146098212,0.5958256294179076,,2.035863136176066,1.500358411928185,,,,,1.3782283724876532,1.3901804959238917,,1.5485594612353304,,0.0779892553214141,0.5506060066828796,0.0450854716069447,-0.1597568912261484,-1.4726618923323864,-0.2674887660562727,0.1168988135585743,0.5141392024817807,,0.3799393024897205,0.8951065797118916,1.1429463942869242,0.0406186272369563,0.0,1.1371751396329648,0.1210231975309596,-0.1127990825091221,-3.1032866095466067,-2.161560645011789,-0.5957022222548293,0.5762261465531987,0.8524153670597185,1.074461338860021,,,,,-2.656846808215642,0.6719020729715917,1.1920397962387337,-0.386443064451982,,,0.4973222463639883,-2.238245853992136,2.139718808238359,1.0648875769226192,0.8104284753321165,1.2675728751764297,0.4583002864579859,0.9087542597686872,2.5365998728376984,,0.5013373650240367,1.734816994301044,0.073840884532263,0.5927330825130135,1.0543001759784634,1.6338362210949338,,,,0.4174265188527137,1.3143001766543,1.0181988234647732,2.2390935496148816,-1.2900982338164138,,2.4684117413903666,2.068903891883978,,2.3817,0.1115923454280284
2022-03-31,1.2324388196565377,0.5733168635183784,,0.6120747280953486,1.1884550713241526,1.2753808481514055,,3.233599068477905,0.0151480538130125,0.0,0.3987343443807047,7.294232353909641,0.7234138288527002,0.6197226759555884,0.9817824648826624,,1.2013604515343572,,-1.101087244664143,-0.4749101368026967,-0.2277620348019895,-0.288122811674026,-1.0230235740123157,6.55991669856223,1.2815001858464712,0.0728435823359471,0.6452118455499259,0.9849944865436762,0.5692101357577068,0.5489506554768936,2.6897412927845687,1.4053740067159988,,,,4.072747273133991,,,,,,,3.388925380777539,,1.215727513319079,0.2345512079331233,,1.8539938101788167,1.25099748404101,,,,,1.2441806017821848,1.204963981281733,,1.417785851118588,,-0.4776773348547361,-0.5008337122934667,0.0440668181240985,-0.2325550628723641,-2.102029744331328,0.6696213711663108,0.1383897391710937,-0.5900199915598336,,-1.93671758373572,1.33074356130407,1.0362309229708138,-0.5192683735244474,8.052863436123348,0.9396201413427562,0.1210231975309596,-0.1751354554444612,-4.263045658949986,1.834557895794527,-0.0057372178161889,-3.294205822053209,-1.3305515405096997,0.1862193763015276,,,,,-2.21409813801085,0.7935130822831358,-2.4802779597148064,-0.6883967901554935,,,0.5074125809882233,-2.704137459394768,1.804056577340814,0.762307193954677,0.8831288348395265,1.081180821943235,0.4954208089919864,0.7945124065694686,1.7927160846019736,,0.5408753027791688,1.7935265898986543,-0.1916871965253024,-0.0519389490579512,0.0757347066821458,1.1835341501327403,,,,-0.4725026491801019,1.3641699615112146,1.1367180646066295,2.2514482382822187,-1.589699396423663,,2.842862713126085,2.4874185009126952,,3.0649,-0.0959543924720104
2021-12-31,1.3936461616337894,0.7488697181319033,,0.4498861731449156,1.490870668629218,1.361790712283531,,0.4008467127379271,0.0125660521892765,-0.8665681930083703,5.361098496048082,8.408978315347968,0.9133016664573264,-1.0492576813130778,1.4186532050911955,,1.4994714429801062,1.2483684920356328,-1.4702612833161015,-0.5216113978492478,-0.2598773508997147,-0.2821085484378366,-0.9108303397076764,7.058886711877387,1.509258974985468,0.1807278203763639,0.620827398436846,1.6137141364209258,0.6448250885560428,0.5951912311358044,2.568991804284338,1.6861212405836823,,,,1.0746986137236685,,,,,,,3.5370097801967746,,1.3523064151499504,0.3892201742586311,,-0.0001375515818431,1.6267183645100187,,,,,1.4068147953989054,1.7625138009098305,,1.537323726678134,,-0.759147813399329,-0.0075264777797549,0.0458074608758202,0.2009560438215763,4.523290477554736,-0.6821134995019953,-0.0873311464032548,-3.758598343331149,,-0.6047745957598901,1.4622597438404468,1.5343737678597436,3.2320907055497283,,1.1270375014248262,-0.0243345889960628,4.77184730174544,-5.232157836401138,2.397137200118942,0.0895064672090856,-0.7700199424701499,0.8196272346899962,2.366119198757753,,,,,3.982488844354268,0.845144160652182,1.1806280187380442,2.6900028640687026,,,0.7087504945895943,-3.208497179004958,2.38613735584238,1.4857360510533233,1.3247373412386834,1.258024653113257,0.7993001760993083,0.9476483849803332,1.2347260694833473,,0.8516691632088657,2.2065911584794105,0.7376119698840832,0.4198584902187438,-0.1874844334595896,0.5468080901245141,,,,0.1788357848414032,1.759848174544954,1.6553783916439648,2.5835968818553217,-1.9985658477939063,,3.0186484317851514,2.6711099461356267,,2.6568,-0.064297599239363
2021-09-30,1.3437230398959512,0.6601055238544944,,0.5559400836210745,1.1788262588624558,1.4576851915490825,,0.281644505349132,0.011503998418008,-1.2230822255046776,1.581652799064423,8.587236213156526,0.8701667820472069,0.7424785778644029,1.5738415903684957,,1.0927615858625908,0.8800726177266804,-1.5884177133163055,-0.3248486807569136,-0.1247054234436177,-0.2453240921796555,-0.9264860756330116,6.484208152308375,1.4856435364732656,0.0257799885599264,0.9072540421245264,1.7573624352820814,0.4927319869338344,0.5311014586001126,2.146914380396124,1.1769297851269749,,,,3.816154676189596,,,,,,,3.2388379329156023,,1.2934729332706791,0.0238525466214431,,,1.6583478837329586,,,,,1.356449802421052,1.9512402289418955,,1.3996470923085926,,0.5804140595235125,0.5549294475090786,0.046024538233731,-0.7482589151815753,0.965529906448738,-0.5662061440422715,0.1823302715331987,0.5820014894734772,,2.264952437061732,0.9385291240273478,1.684757364170452,1.4369682153867451,0.0,0.9959534936737718,-0.3307059815440784,-0.1737981256999816,1.1051900920775422,-1.3356715972723394,0.1085816159585629,0.5802086443106323,0.0489835594438104,1.019608439869447,,,,,0.7708294136262852,1.545691385263578,1.136957061694922,1.1823644296805915,,,0.3417497123579545,-3.646606257479911,1.6467572564247592,0.9182184389830824,0.9212364683043708,1.1343012122946865,0.5448436705671593,0.7043038021889232,1.116883701871494,,0.4953651480625698,1.8118214165076525,1.0527555327121163,-0.9753602167558773,-0.5337251224567846,0.4397968031936014,,,,-1.747097224804295,1.3700920933209966,1.2423136251996725,2.2018799326737923,-1.88780030134003,,2.991096316394959,2.619402036975377,,2.5185,0.0217318622534269
2021-06-30,1.1898469280856545,0.5496783313791709,,0.5165452603999128,1.0710703497890164,1.2746071110571553,,0.1952187915714323,0.011503998418008,-1.2230822255046776,0.8419252917625636,8.371441524605222,0.7641541207847931,0.6217394109584347,1.0263393838263268,,0.971372877867488,0.6373437184724557,-1.1382889467591726,-0.4427293511994352,-0.2056594540713826,-0.2863065799744884,-0.9795282683549617,6.042922296841102,1.1840696560940132,0.2422725199296218,0.6133247225569631,0.8743377503743232,0.4977797422388749,0.5295954326136342,2.167361721227025,1.1234238013185374,,,,3.810910970837141,,0.5395749668781239,,,,,3.250211526721795,,1.1927748189683378,-0.0238525466214431,,6.87757909215956e-05,1.588640566976548,,,,,1.2012117279376004,1.2413650337258415,1.4104735484848632,1.2939311582623636,,0.0,-0.5043267361317068,0.0451795542999609,0.8843854797821766,-0.3650123160070156,0.3575163962744634,-2.360674370424393,-1.0826521012310002,,-2.092372176368212,1.4097067293340002,1.0858835916216287,-0.0687676041339431,1.0,0.895645731220791,-0.3368940524903118,-0.066925166551703,-1.6697182331870812,-4.07188994349394,0.0438728421237977,-2.363869405557682,-0.0489835594438104,0.957964425270562,,,,,-1.9283053644194323,1.204143450132755,-0.9157465330655749,-0.4659332704473801,,,0.5266538233357335,25.678919473414258,1.7195643706773331,0.7370614411715194,0.6563342174438591,1.039625883668302,0.5685314113613704,0.7070568243995602,1.0267086727424233,,0.4598011389858495,1.3515555331568323,0.6290206538213253,0.9062339402596064,0.4102707182997187,0.9990687703316994,,,,0.8502576824241038,1.0619524648216234,0.6969860939169792,1.8064138167667043,-0.9845467449799192,,2.3601367616113635,1.989654073124252,,3.139,-0.0930489890353082
2021-03-31,1.319037749239336,0.6892206638758971,,0.3818627630078003,1.2943193621653883,1.347879356500004,,0.1203329725889054,0.0105528906019637,,0.2307334360961666,9.801998411793594,0.9248067335381062,0.6321865818227036,1.4955619722665765,,1.133300406375842,0.5719941039303629,-1.34429675761814,0.8368451877760453,0.673117852085276,0.2285091055039003,0.2609042787754042,6.32412485055332,1.423190400557361,0.6238496571598208,0.5956994168239664,1.7629481562912392,0.4620424077430011,0.6927482478154605,2.1999178266718578,1.303023081829581,,,,0.8925706628553743,,0.4949694645881399,,,,,2.8832253499690865,,1.28227968740664,0.4567965589080585,,,2.112005863590978,,,,,1.331546021421428,1.8651812262120724,1.485159173763416,1.3612986466827528,,0.2312078930902013,0.1674937883491178,0.0492385785608402,-0.2771965863116137,-0.4465936872981738,-0.1368261164661688,-0.4506345381053696,-0.2060072523736583,,0.0694649268274072,1.3872682541216677,1.6246600213226727,0.2518199812577538,,0.843539838139747,-0.1777368677531887,0.4533703428647666,-5.923998234440376,3.2347877927793234,-0.4552504346932936,0.2394238437034327,-1.323365031063776,0.6370405482675515,,,,,-0.5591485362906111,1.4719469478827767,-1.2051214229397298,0.0050437911469838,,,0.2643481131946063,33.677551718242434,1.97172175064884,0.4417023895961679,0.8245615280835844,0.9904054713426532,0.4838993812816546,0.6246158555532744,0.9798663316167116,,0.4873651695395369,1.493299143161858,0.5192014054562295,0.1620191281171542,-0.7133783101440083,0.4527948463649102,,,,-0.1771029519962482,1.164827860769766,1.0293403221108377,1.8002908266757809,-2.314628088325569,,2.20199406421093,1.7436981517034225,,2.5002,0.2554938115685779
2020-12-31,1.2007326090581467,0.5455377633980284,,0.177956064448763,1.3048922015553832,1.1567384193360493,,0.1550249018826766,0.0083593758330755,,4.394197507133115,9.134738956534,0.7723960768905008,-1.0492484179122104,1.4726928845642733,,1.2170151137033476,1.0868569014915144,-1.3481794024037774,0.9453249650917848,0.7476275158012253,0.1662645420740025,-0.0347617881964999,5.773620817968142,1.3288720356456458,0.5659252340508721,0.3350388435127647,1.3765365090831196,0.6775046042795907,0.483689529396163,1.6068440338418637,1.1702422450720678,,,,0.6530511956933903,,0.3920969759004816,,,,,2.92604879578206,,1.1563714245606571,-0.5172325728249595,,0.0,1.8150481877767228,,,,,1.2121937584407767,1.794605620726109,1.3389555202875718,1.229420887129725,,-0.3746298960213325,-1.2276594763100488,0.048243457753854,-1.5790204194362545,3.1936269815535083,-0.0953144265284272,-2.333882761531008,-3.3866820570051,0.924140729435136,-1.9821853406580388,1.8332828800615315,1.5990017540378942,2.1010001410992967,,0.986977088795167,-0.1790982433613601,3.2517044780859417,-1.7760649871856364,-7.024040023025878,0.0895064672090856,-1.400692638634017,-1.9250276826845865,0.7059431455854549,,,,,0.4480388585591843,-0.1321316829338219,-3.563319380521573,2.0317470351601146,,,2.3386729899632903,28.318174046845616,1.0395168836836626,0.8424342491213095,1.119720287898277,1.1259001216991038,1.90909139640357,1.8830811789607684,1.108814061480682,,1.5547774904697629,1.5692672803981536,0.5492120709253698,2.211481287871537,4.098877303677854,3.2584135621226338,,,,2.6520696021396244,1.3771812142338755,1.103553297503875,1.8778515672979053,5.665275378294226,,5.551026195455673,5.673693830274092,,2.7793,-0.0807392259334999
2020-09-30,1.2275010679176808,0.6339699197486345,,0.1491102137861707,1.1998923332538645,1.2540839721493997,,0.0446547290891579,0.0083585837810419,,0.6682243110647105,9.242978777150892,0.8484472694408096,0.119635849545654,2.006565433513443,,1.0491493243051324,0.7290048516871867,-1.5297887143488806,2.696502058145531,1.7217739959604583,0.8928603174867361,-0.904246701177229,5.966105560341672,1.5351632577932852,0.4035268733120461,0.4647543606194323,1.0924129634022195,0.684462881380211,-0.2623182118563011,1.5319949804874118,0.8831863775160901,,,,3.561438150243008,,0.3920598298711858,,,,,1.1238990674790537,,1.1196671962923304,-0.2918193601654075,,0.0,1.9568998872667904,,,,,1.2391991458355829,2.352728046413428,1.3900736533300957,1.275530164825001,,0.8972838372980004,-0.3309010024319355,0.0463041204334776,-2.5956960202278694,0.8122532280691759,-0.6728466530010871,0.3131652504554471,0.1675606814813389,-0.924140729435136,2.0963339490660724,1.348052931072239,2.109013683900069,1.663658877808009,,0.9338310726091416,-0.1790982433613601,-0.1194594383182712,1.494186026138702,1.644066494758306,0.1071142968239877,-0.9005588429802983,2.0248239719369425,0.4547437860949995,,,,,1.6584850620970764,0.4437630106079304,1.6411121256290346,1.636830456257413,,,0.083278344327111,33.28421525047017,0.5058939759824522,0.6621206581974558,0.7335662341718177,1.0757262319871468,0.4780485174612164,0.6355238618094992,1.0610366667858764,,0.3615806627348998,1.3653181217550716,4.49807746147801,0.0,0.0,-1.3779278982520302,,,,-0.4007550854294995,1.0501382234202992,0.942479973440731,1.6399362909082644,-0.3121867246521732,,1.9004256882389523,1.4125198655870177,,2.0019,0.0
2020-06-30,1.1459981678592497,0.6063342746883728,,0.3250039060447307,1.1334420884903422,1.159227530337113,,0.2295400401841169,0.0083585837810419,,0.1764317036791393,8.749742274882212,0.7967040319044528,-0.0182784962745912,1.5134214672007789,,0.9948279810016626,0.7233734096533107,-1.1165068854232083,2.551025117497383,1.6149418377394538,0.8768773195144596,-0.9232250855766512,5.872669431450378,1.3797106514568471,0.4551085720905648,0.3009285684476176,-0.4527782797524249,1.0291999712295232,-0.2180176207829355,1.6538173329138517,0.7657453605003466,,,,3.558333393065805,,,,,,,0.9810138553813368,,1.064821873162554,-0.1853610155349418,,,1.827027712109504,,,,,1.1569748608504886,1.6255380203814995,,1.2531462454531317,,0.5693263159453118,-0.8851305270511629,0.048650471916886,0.0714926176588414,0.2459860805632951,0.3804021120981962,5.044219902632109,1.328565742807864,-0.924140729435136,1.7501113495703715,0.9418760117560028,1.5541645322339086,-0.0803151173253962,,0.898637866180326,-0.1777368677531887,-0.1840575173403614,0.1961196667011892,-3.140967350006824,0.0865718289399352,0.0246223482369522,-0.1455804911035036,0.1025509826867046,,,,,-0.6695618721821356,0.1520760879049649,0.4365356116673959,-0.171361018127603,,,-0.4112448734173249,34.1748589502479,0.4449793818167185,0.1530606657813161,0.3136189499706631,1.0424379023069068,-0.1416805009952119,0.0931013694340786,1.029398552872694,,-0.1561168538231124,0.9744105673124356,1.0154193739650286,-0.3463602830195625,-0.5978858086230808,-0.20472808271741,,,,-0.8788858426710555,0.6082058533403314,0.6875584898050751,1.142066167497277,-0.9185771632563866,,1.024194302029189,0.4226036729787872,,2.3385,0.015168564612684
2020-03-31,1.0351152614558508,0.5935748459807222,,0.4142362293416228,0.9580002434727368,1.0764658613433382,,0.4197956822077155,0.0083585837810419,,-0.1046873131432,8.548704511345692,0.7327010403014004,-0.1410805299197255,1.0187609787979297,,0.7840644314423392,0.3654518068033746,-1.0932318735227515,-0.5735749257240053,-0.5504671697611445,-0.1832666379836515,-0.9513116293204268,5.858734270819399,1.0951414816055156,0.4874231596324695,0.1718047697121677,-0.4527782797524249,0.865588570189012,-0.2500920697831085,1.6484422421258182,0.8989299145751689,,,,3.555925838214228,,0.3920598298711858,,,,,0.9602848750587474,,1.0159668994432245,0.0300780682865734,,,1.7690675013453376,,,,,1.04511052608998,1.0775857253184575,1.3615571593227846,1.2498078846316896,,0.3571445477934588,-1.8982581015085909,0.0482561079092921,0.0,-2.0085847827254013,-0.1070745719680171,0.2320596499637554,0.4586347127259344,-0.924140729435136,0.6257186948908949,0.7924285343550292,1.0897070100211197,-0.1784000937112309,,0.7159922489456286,-0.3307059815440784,-0.1624828931510842,-3.8765017065258687,6.002527724614842,0.0430364702170898,0.0148213177799504,-0.0775698406660749,0.6565447144866386,,,,,-0.7163389357212606,0.1420290939007516,-0.3816456700161785,-0.4792467991642066,,,-0.2681637639618546,37.15874508462985,0.3988308724750871,0.3275833161874608,0.5168545186217922,0.8700602183864332,0.1332588339647777,0.2986770782194901,0.865203146139778,,0.1901969608880563,0.9842721723552096,0.8587071451626485,0.3056905780402147,-0.604021237184399,-0.029097811165141,,,,0.0212334471059173,0.7175783453516329,0.7727720471355878,1.093335285730465,-2.662607341879364,,0.9758056979708108,0.2950719175575187,,2.0373,-0.078270303781773
2019-12-31,0.8632292271111422,0.3117904007835361,,0.3361147273244463,0.8600171558295286,0.8655016306940536,0.0,0.0446150133018986,0.0074118469188127,,3.4687096710293184,7.233625111452425,0.4765403670939361,-0.1449513346061861,0.8664578638260892,,0.7732075850835837,0.7572768968329093,-1.0045286408151557,-0.672050502575452,-0.5954105041595298,-0.2921000755168627,-1.0596755752498517,5.141342036876458,0.9048388896278752,-0.0444533744596737,0.0,-0.4861809798038252,0.8495815811593908,-0.2725028520367119,1.1455834084467895,0.7864276251692346,0.0,0.0,0.0,0.0458505575658392,0.0,0.3476593186317604,0.0,0.0,0.1876997790737018,0.0,1.2742397572571766,0.0,0.8518168259469534,-0.4703531177461477,0.0,-0.0002751031636863,1.284610986541086,0.0,0.0,0.0,0.0,0.871703122638267,0.9049634383191985,1.1710266813354089,1.077946703558714,0.0,,,0.0489056704973971,-1.8424013968092792,2.6768896187509927,-0.2449049575748979,-1.6126090095441707,-3.700213765166393,-0.924140729435136,-1.5931429822280432,1.149612289818126,0.9188154634908462,2.5140816432477333,,0.844351989057335,-0.3307059815440784,3.754517777928277,-0.5122698408307143,-0.1406217140001083,-0.1115162542277132,-1.6984977715712188,1.3889844047166222,1.3321435938857926,0.0,0.0,0.0,0.0,1.705091578132727,0.0,3.746591819055544,2.2649977545681046,0.0,0.0,0.5782101548303009,27.08898957086681,0.4354874913660126,0.361216206335414,0.9634213872850416,0.991194880687876,0.8696433638643221,0.9585102723181632,0.9805964419377852,0.0,0.9025493492701934,1.0967489222211404,0.4004568434421398,-0.7892373049822928,-0.5941620880055638,-0.1981008612539016,0.0,0.0,0.0,-1.4902463943182662,1.07808901938475,0.7396566206170736,1.3194154631630777,-3.5551950503217897,0.0,3.398936907266992,3.136278045013708,0.0,4.1278,-0.1073004054364178
